"order_id","customer_id","order_date","amount"
"1001","10054","2023-06-01","553.10"
"1002","10481","2023-06-01","294.59"
"1003","10513","2023-06-01","2.26"
"1004","11213","2023-06-01","29.75"
"1005","11225","2023-06-01","158.07"
"1006","11430","2023-06-01","251.06"
"1007","11444","2023-06-01","24.89"
"1008","11454","2023-06-01","108.04"
"1009","11624","2023-06-01","150.27"
"1010","11650","2023-06-01","183.49"
"1011","11667","2023-06-01","172.84"
"1012","11764","2023-06-01","491.94"
"1013","11783","2023-06-01","298.17"
"1014","11933","2023-06-01","358.24"
"1015","12284","2023-06-01","293.68"
"1016","12285","2023-06-01","221.86"
"1017","12484","2023-06-01","45.55"
"1018","12517","2023-06-01","761.82"
"1019","12671","2023-06-01","296.47"
"1020","12694","2023-06-01","61.20"
"1021","12865","2023-06-01","41.08"
"1022","12977","2023-06-01","83.60"
"1023","13098","2023-06-01","127.46"
"1024","13976","2023-06-01","171.33"
"1025","14258","2023-06-01","417.32"
"1026","14506","2023-06-01","47.82"
"1027","10035","2023-06-02","14.53"
"1028","10210","2023-06-02","9.33"
"1029","10280","2023-06-02","15.89"
"1030","10864","2023-06-02","71.20"
"1031","11062","2023-06-02","18.39"
"1032","11073","2023-06-02","213.96"
"1033","11116","2023-06-02","326.06"
"1034","11130","2023-06-02","26.95"
"1035","11131","2023-06-02","102.19"
"1036","11318","2023-06-02","112.85"
"1037","11418","2023-06-02","13.28"
"1038","11531","2023-06-02","100.87"
"1039","11645","2023-06-02","237.00"
"1040","11954","2023-06-02","40.07"
"1041","12026","2023-06-02","44.62"
"1042","12207","2023-06-02","163.18"
"1043","12490","2023-06-02","162.73"
"1044","12514","2023-06-02","86.07"
"1045","12653","2023-06-02","25.25"
"1046","12875","2023-06-02","34.63"
"1047","12878","2023-06-02","107.29"
"1048","12937","2023-06-02","30.73"
"1049","13002","2023-06-02","5.71"
"1050","13136","2023-06-02","171.68"
"1051","13140","2023-06-02","304.43"
"1052","13201","2023-06-02","15.86"
"1053","13216","2023-06-02","43.94"
"1054","13407","2023-06-02","17.25"
"1055","13567","2023-06-02","229.22"
"1056","13712","2023-06-02","99.85"
"1057","13737","2023-06-02","138.11"
"1058","13966","2023-06-02","20.01"
"1059","14021","2023-06-02","147.73"
"1060","14269","2023-06-02","192.98"
"1061","14560","2023-06-02","219.82"
"1062","14678","2023-06-02","236.06"
"1063","14821","2023-06-02","18.88"
"1064","14845","2023-06-02","12.75"
"1065","10063","2023-06-03","204.40"
"1066","10193","2023-06-03","14.54"
"1067","10291","2023-06-03","22.83"
"1068","10291","2023-06-03","70.44"
"1069","10608","2023-06-03","159.95"
"1070","11178","2023-06-03","2.26"
"1071","11268","2023-06-03","31.13"
"1072","11342","2023-06-03","47.38"
"1073","11625","2023-06-03","112.60"
"1074","11837","2023-06-03","163.67"
"1075","11933","2023-06-03","111.12"
"1076","12001","2023-06-03","32.62"
"1077","12254","2023-06-03","23.50"
